,Date,Open,High,Low,Close,Adj Close,Volume
398,2021-10-13,3.0,3.07,2.965,3.012,3.012,314833
399,2021-10-14,2.996,3.087,2.966,3.034,3.034,256129
400,2021-10-15,3.004,3.051,2.912,2.946,2.946,413591
401,2021-10-18,2.987,3.065,2.932,3.0,3.0,353510
402,2021-10-19,3.002,3.086,2.99,3.03,3.03,281540
403,2021-10-20,3.05,3.12,2.953,2.97,2.97,405749
404,2021-10-21,2.971,3.032,2.936,2.965,2.965,263350
405,2021-10-22,2.99,3.467,2.95,3.4,3.4,2004067
406,2021-10-25,3.4,3.425,3.11,3.13,3.13,866654
407,2021-10-26,3.13,3.13,2.985,2.99,2.99,367908
408,2021-10-27,3.005,3.034,2.96,2.96,2.96,361473
409,2021-10-28,2.96,3.18,2.927,3.018,3.018,707454
410,2021-10-29,3.046,3.074,2.981,3.006,3.006,267401
411,2021-11-01,3.0,3.099,2.985,3.016,3.016,296447
412,2021-11-02,3.0,3.033,2.8,2.829,2.829,951113
413,2021-11-03,2.82,2.892,2.8,2.81,2.81,365862
414,2021-11-04,2.802,2.868,2.754,2.779,2.779,434659
415,2021-11-05,2.784,2.847,2.67,2.688,2.688,465886
416,2021-11-08,2.7,2.739,2.57,2.6,2.6,698435
417,2021-11-09,2.576,2.824,2.55,2.768,2.768,829255
418,2021-11-10,2.785,2.84,2.635,2.67,2.67,549895
419,2021-11-11,2.69,2.701,2.558,2.616,2.616,389532
420,2021-11-12,2.61,2.648,2.574,2.581,2.581,454753
421,2021-11-15,2.65,2.752,2.599,2.687,2.687,516531
422,2021-11-16,2.719,2.885,2.646,2.83,2.83,759673
423,2021-11-17,2.862,3.462,2.81,3.356,3.356,4212412
424,2021-11-18,3.349,3.788,2.98,3.06,3.06,4732802
425,2021-11-19,3.015,3.584,2.958,3.5,3.5,3138714
